fid,terrain,,,,
1013,Rs/aCvR-A,,,,
1014,Rs-AR,,,,
1015,Cv/Rh-AR,,,,
1016,aCa/Ra-AR,,,,
1017,Rs/rCv-VA,,,,
1018,aCk/RhARb-A,,,,
1019,Rs-A,,,,
1020,Rs/rCv-AV,,,,
1021,Rs-AR,,,,
1022,aCa-AR,,,,
1023,rCv/Mv,,,,
1024,Rs/arCa-AV,,,,
1025,Rs-R,,,,
1026,Rs-AVR,,,,
1027,aCck-ARbAd,,,,
1028,arCv/sMv/Rs-AVR,,,,
1029,arCa/bMa,,,,
1030,bMj/aCc-A,,,,
1031,bsMbv/arCv,,,,
1032,Rs/aCv-AR,,,,
1033,Mbv/rCbv,,,,
1034,Rs-AR,,,,
1035,bFjh,,,,
1036,rCv/Rs/Mv,,,,
1037,sMbv/Cbv,,,,
1038,aCa-AR,,,,
1039,aCk-ARbA,,,,
1040,rCv/Rs-A,,,,
1041,Rs/rCv,,,,
1042,sMv/rCv/Rs,,,,
1043,Mbv/Cbv-VR,,,,
1044,aCa-ARbA,,,,
1045,rCv/Rh,,,,
1046,Cv/Rs-AR,,,,
1047,arCv/Rhs,,,,
1048,Cvb/RsR-Asb,,,,
1049,rCv/sMv/Rhs,,,,
1050,Caf,,,,
1051,Mbc/Cbv-VR,,,,
1052,aCh/bF,,,,
1053,arCav/Rs-AR,,,,
1054,bFGfj,,,,
1055,aCc-A,,,,
1056,Cv/Rs-VA,,,,
1057,aChv/Rs-A,,,,
1058,Rs-AVR,,,,
1059,aCk-AR,,,,
1060,rCv/Mv,,,,
1061,aCck-A,,,,
1062,bFft-B,,,,
1063,Mbv/Cv,,,,
1064,arCck-A,,,,
1065,Rs/Cv-RV,,,,
1066,Rs-A,,,,
1067,Rs-AR,,,,
1068,Cc-ARbA,,,,
1069,aCa-AR,,,,
1070,Cv/Rs-A,,,,
1071,aCa/aMa/Rh-A,,,,
1072,aCk-ARbA,,,,
1073,aCc,,,,
1074,bsFp/Lp,,,,
1075,bMa/aCa,,,,
1076,aCak-AR,,,,
1077,Rs/Cv-AVR,,,,
1078,rCv=Rs-R,,,,
1079,arCa/Ras-R,,,,
1080,Rs/Cv-R,,,,
1081,Rs/Cv-R,,,,
1082,Rs,,,,
1083,aCck-ARbA,,,,
1084,aCa/aMr/Rr-A,,,,
1085,aCa-Rb,,,,
1086,Rsa-AR,,,,
1087,aCa-AR,,,,
1088,arCv/Rr-A,,,,
1089,arCv=Rr/arMv-A,,,,
1090,Rs-AR,,,,
1091,Ras/arCv,,,,
1092,arCvk/Ras-R,,,,
1093,Mbv/rCbv,,,,
1094,Rs-A,,,,
1095,Rs-A,,,,
1096,aCah/Rr-AFR,,,,
1097,arCv/Rs-AVRb/Rs,,,,
1098,aCk/Rahs-ARbA,,,,
1099,Rs-A,,,,
1100,aCk-ARbA,,,,
1101,aCas-R,,,,
1102,Cv=Rs-VRS,,,,
1103,Rs/Cv-VA,,,,
1104,gsFGb/M,,,,
1105,sEv/Mbu,,,,
1106,Mv=Cv,,,,
1107,Mbv,,,,
1108,sEv/gsFGu,,,,
1109,Mbv/Cv,,,,
1110,gFGp,,,,
1111,gsFGb,,,,
1112,Cb-V,,,,
1113,Cf,,,,
1114,Muh,,,,
1115,sEv/Mur,,,,
1116,Mvb,,,,
1117,Ms-V,,,,
1118,fLGa/gFG,,,,
1119,gfCvb/fLGa,,,,
1120,Msa-V,,,,
1121,fLGsa-F,,,,
1122,Ms=fLGs-R,,,,
1123,Mb,,,,
1124,gfCua,,,,
1125,Cf,,,,
1126,gFGas,,,,
1127,gFGt,,,,
1128,fLGsa-F,,,,
1129,$sFv/gFp,,,,
1130,Muj/fLGt,,,,
1131,Cf,,,,
1132,Cv/Mvb-V,,,,
1133,Cf,,,,
1134,FGt,,,,
1135,Mbw,,,,
1136,Cv=Mw/Ras,,,,
1137,Cv/Mv-V,,,,
1138,Mbw,,,,
1139,Us-RdV,,,,
1140,FGt,,,,
1141,frCwa/Rs/Ra,,,,
1142,FGt,,,,
1143,Ms/-RdsV/Us,,,,
1144,Mu,,,,
1145,gFG,,,,
1146,Muh,,,,
1147,$sFv/gFp,,,,
1148,Cf,,,,
1149,$sFv/gFp,,,,
1150,gFf,,,,
1151,FGt,,,,
1152,FGt,,,,
1153,gFt/Cf,,,,
1154,rFAf,,,,
1155,Ff,,,,
1156,frCw/=Rs-R/Ra,,,,
1157,bgFp,,,,
1158,$sLGuh,,,,
1159,fgCa,,,,
1160,gFGa,,,,
1161,gFGt,,,,
1162,fLGsa-F,,,,
1163,$sFv/gFp,,,,
1164,/gFv/fLGut,,,,
1165,fLGu/gFG-H,,,,
1166,Ms-FO,,,,
1167,Mr-FO,,,,
1168,Ms-RV,,,,
1169,fLGs-F,,,,
1170,fLGa-FA,,,,
1171,fLGu,,,,
1172,$sFv/gFp,,,,
1173,Muh,,,,
1174,Mbv/Cv,,,,
1175,Mj,,,,
1176,gFt,,,,
1177,FGt,,,,
1178,Cf,,,,
1179,gFGt,,,,
1180,gFGt,,,,
1181,gLGa-V,,,,
1182,$sFv/gFp,,,,
1183,Mbv/Cv-V,,,,
1184,Mvb=Cv/Rs-V,,,,
1185,Cv,,,,
1186,/Cw/Rh,,,,
1187,Cv=Ra,,,,
1188,Cv/Rk,,,,
1189,fMvb/Cv,,,,
1190,Cak,,,,
1191,Rkh,,,,
1192,Cv=Mv,,,,
1193,Cv=Rs-A,,,,
1194,Rs-VRA,,,,
1195,Rsa/Cv,,,,
1196,aCc/MrN-RAbA,,,,
1197,Rs/Cv,,,,
1198,aCkc/Rs-ARbAd,,,,
1199,Cv/Rs-A,,,,
1200,aCca-A,,,,
1201,Ccj-A,,,,
1202,Cv-A,,,,
1203,Cv/Rs,,,,
1204,Rs-A,,,,
1205,Rs-AR,,,,
1206,Cv/Rs-A,,,,
1207,Cv/Rs,,,,
1208,Rs=Cv,,,,
1209,Ca,,,,
1210,aCc-ARbA,,,,
1211,I,,,,
1212,Cv/Rs,,,,
1213,Rs,,,,
1214,/Mw=Cw/Rh,,,,
1215,Cv,,,,
1216,/Mw/Rh,,,,
1217,Cv/Rs,,,,
1218,Fp,,,,
1219,Cv/Mv/Rsk,,,,
1220,Cv=Mvb/Rs,,,,
1221,Rs=Cv,,,,
1222,Cv/Rs,,,,
1223,Cv/Rs-Rs,,,,
1224,Cv/Mv,,,,
1225,Cv/Rs/Mv,,,,
1226,Rs,,,,
1227,Mvb,,,,
1228,Mw/Rh,,,,
1229,Mb,,,,
1230,/Cw/Mw/Rhk,,,,
1231,/Cw=Mw/Rhs,,,,
1232,Ma,,,,
1233,Rr,,,,
1234,Cv/Rs-AV,,,,
1235,Rs=Cv-AVRs,,,,
1236,Cv=Mv,,,,
1237,Rs/Cv-A,,,,
1238,Rsr/Cv-A,,,,
1239,Mbv/Cv,,,,
1240,Rs/Cv,,,,
1241,Ck-A,,,,
1242,Mvb/Cv-V,,,,
1243,Cv=Rs,,,,
1244,Lp,,,,
1245,Cv=Rk,,,,
1246,Cv/Ra,,,,
1247,fMb,,,,
1248,Cv=Mvb,,,,
1249,Rs=Cv,,,,
1250,Lp,,,,
1251,Mvb=Cv,,,,
1252,Mvb,,,,
1253,Mvb/Cv/Rsk,,,,
1254,Rs/Cv,,,,
1255,Mvb/Cv,,,,
1256,Mj,,,,
1257,Cv/Rh,,,,
1258,Mvb/Rs-V,,,,
1259,/Cw/Rrh,,,,
1260,FAp,,,,
1261,Cv/Rhs,,,,
1262,Ft/FAp,,,,
1263,Ff,,,,
1264,Cfk,,,,
1265,Mbv,,,,
1266,Mbv=Cv,,,,
1267,Mbv,,,,
1268,Cv/Rs,,,,
1269,FAp/Ft-IM,,,,
1270,Ch,,,,
1271,Rs,,,,
1272,sgFGta,,,,
1273,Ra,,,,
1274,Ft,,,,
1275,Ft,,,,
1276,gFt,,,,
1277,gFf,,,,
1278,Ft/F-Ap,,,,
1279,Cv/Rs,,,,
1280,Ft,,,,
1281,Ft,,,,
1282,Ft,,,,
1283,Rs/Cv,,,,
1284,Mvb=Cv/Rs,,,,
1285,Mbv,,,,
1286,CkRd,,,,
1287,Cf,,,,
1288,Cv/Ms/Rs,,,,
1289,Cf,,,,
1290,Cf/Mb,,,,
1291,Mw/Rh,,,,
1292,Ca,,,,
1293,Ft,,,,
1294,Ft,,,,
1295,Ff,,,,
1296,Rs,,,,
1297,Cc,,,,
1298,gFf-A,,,,
1299,Cf,,,,
1300,Cv=Rs,,,,
1301,Mbv,,,,
1302,Ck/Rs-VRb,,,,
1303,Cbv-V,,,,
1304,Rs=aCv-ARb,,,,
1305,aCcjRbA-A,,,,
1306,aCc-A,,,,
1307,Rs-V,,,,
1308,aCav/Rs,,,,
1309,aCc-RbA,,,,
1310,Cv=Rs,,,,
1311,Rs/CvV,,,,
1312,Rs-V,,,,
1313,Cv=Mvb,,,,
1314,Cv=Rs,,,,
1315,Rs/Cv-VRA,,,,
1316,Rs/Cv-RV,,,,
1317,Ccf/Ff-ARdA,,,,
1318,Cv=Mv/Rh,,,,
1319,Cc,,,,
1320,FptI,,,,
1321,Cf,,,,
1322,Ch,,,,
1323,FGt/Ff,,,,
1324,Cv/Mvb/Rs,,,,
1325,Us,,,,
1326,Mvb/Cv,,,,
1327,Cv=Mvb-V,,,,
1328,Ck,,,,
1329,Ft,,,,
1330,Ff,,,,
1331,Ft/FAp-IJ,,,,
1332,FGt,,,,
1333,Ffc,,,,
1334,FGt,,,,
1335,Cc,,,,
1336,FGt,,,,
1337,FGf,,,,
1338,Mbv,,,,
1339,FfG,,,,
1340,Mvb,,,,
1341,Cv=Mv/Rs-V,,,,
1342,Cv=Mv,,,,
1343,Ftl,,,,
1344,Cc/FGt,,,,
1345,Cc,,,,
1346,Cvb-AV,,,,
1347,Cv/Rs-V,,,,
1348,Ff,,,,
1349,Ck/Rs-VR,,,,
1350,aCk,,,,
1351,Cc,,,,
1352,Cc,,,,
1353,Cv/Rk,,,,
1354,Ft/FAp,,,,
1355,Mv=Cv=Rs,,,,
1356,Rs/Cv-VR,,,,
1357,Cv/Rs-A,,,,
1358,Rs,,,,
1359,aCch,,,,
1360,Cv=Rs,,,,
1361,Cvb,,,,
1362,Rs,,,,
1363,Cv/Rs-R,,,,
1364,Cv/Rks,,,,
1365,Rh/Cv,,,,
1366,Cv=Mv/Rs,,,,
1367,Cv/Rhs,,,,
1368,Rs/Cv-V,,,,
1369,Rs/Cv-RV,,,,
1370,Rs/Cv-R,,,,
1371,Rs/Cv-VR,,,,
1372,Ck/Rs,,,,
1373,sgFt/FAp,,,,
1374,Rs,,,,
1375,Cv/Rs,,,,
1376,Cvb,,,,
1377,Rs=Cv-VR,,,,
1378,sFt,,,,
1379,Cc,,,,
1380,Rs/Cv-VR,,,,
1381,Cah,,,,
1382,Cv=Rs,,,,
1383,Mvb,,,,
1384,Rs,,,,
1385,Cv=Rs-V,,,,
1386,Rs/Cv,,,,
1387,aCck-RbA,,,,
1388,Rs-V,,,,
1389,aCck-RbA,,,,
1390,Cv/Mvb,,,,
1391,Cv-A,,,,
1392,Rs=Cv,,,,
1393,aCk-RbA,,,,
1394,Cv/Rs,,,,
1395,aCck-A,,,,
1396,sgFGt/Us-F,,,,
1397,Rk,,,,
1398,aCck/Rs-ARbA,,,,
1399,Rs/Cv,,,,
1400,Cck/sMbv,,,,
1401,Cv/Rs-A,,,,
1402,Ft,,,,
1403,Rs=Cv-V,,,,
1404,Mbv/Cv,,,,
1405,Rs,,,,
1406,aCck-RbA,,,,
1407,Rs,,,,
1408,Cv/Rsk,,,,
1409,Cv=Rsh,,,,
1410,Rs=Cv-AR,,,,
1411,Cv/Rs-A,,,,
1412,Fj,,,,
1413,Rsk,,,,
1414,Cv/Rs,,,,
1415,Ff,,,,
1416,aCch-RbA,,,,
1417,Cca,,,,
1418,Rs-VA,,,,
1419,aCck-RbA,,,,
1420,aCk/Rs,,,,
1421,Rs-V,,,,
1422,Rs,,,,
1423,aCc-RbA,,,,
1424,Rs=Cv-V,,,,
1425,Cv/Rs-A,,,,
1426,Ft,,,,
1427,Cc,,,,
1428,Cv/Rs,,,,
1429,Rs=Cv,,,,
1430,aCck-RbA,,,,
1431,Rs,,,,
1432,/Cw/Rha,,,,
1433,aCa-RbA,,,,
1434,Rs/Cv-A,,,,
1435,/Cw/Rh,,,,
1436,/Cw/Rh,,,,
1437,Lp,,,,
1438,Mbv/Cv,,,,
1439,aCc-ARbAd,,,,
1440,Rs/Cv-V,,,,
1441,Rh,,,,
1442,Rs,,,,
1443,Cv/Rs-R,,,,
1444,aCcRb-A,,,,
1445,Rs-V,,,,
1446,Cah/Fpt,,,,
1447,Cv-AV,,,,
1448,Cc,,,,
1449,aCk-A,,,,
1450,/Mb=Cv/Rh,,,,
1451,Rs/Cv,,,,
1452,Cc,,,,
1453,aCck/Rs-ARbAd,,,,
1454,aCkRb-A,,,,
1455,Rs/Cv-A,,,,
1456,FGt/Cf,,,,
1457,sMbv,,,,
1458,Cka,,,,
1459,Cv=Mv,,,,
1460,Rs-V,,,,
1461,aCc-RAaA,,,,
1462,Rs=Cv-A,,,,
1463,aCck-RbA,,,,
1464,Rs,,,,
1465,Fp,,,,
1466,Lp,,,,
1467,Cvb,,,,
1468,Rs=Cv,,,,
1469,Mvb/Cvb-V,,,,
1470,Cv/Rs,,,,
1471,Cvb/Mv,,,,
1472,Mvb-V,,,,
1473,Cvb,,,,
1474,Cv=Mv,,,,
1475,Cv/Rs,,,,
1476,Ff,,,,
1477,Cc,,,,
1478,Cv=Mvb,,,,
1479,Fp,,,,
1480,Cc,,,,
1481,Cc,,,,
1482,Fp,,,,
1483,Cc,,,,
1484,Cvb/Rs,,,,
1485,Mv=Cv,,,,
1486,Cvb-A,,,,
1487,Rs,,,,
1488,Rs-V,,,,
1489,Rs=Cv,,,,
1490,Cc,,,,
1491,Mvb-V,,,,
1492,Rsk=Cv,,,,
1493,CkA,,,,
1494,Cck/Rs-A,,,,
1495,Rs,,,,
1496,Cc,,,,
1497,Ffj,,,,
1498,Fpt-I,,,,
1499,Ff,,,,
1500,Cf,,,,
1501,Cv/Rs,,,,
1502,Cck-A,,,,
1503,Mv/Cv,,,,
1504,Ck=Rs-Rs,,,,
1505,Cf,,,,
1506,Mv=Cv/Rs,,,,
1507,Cvb,,,,
1508,Rs/Cv,,,,
1509,Rs,,,,
1510,Cv/Rs,,,,
1511,Mv=Cv,,,,
1512,Cv=Mvb/Rs,,,,
1513,Cc,,,,
1514,Cv=Rs-V,,,,
1515,/Cw/Rah,,,,
1516,Cv=Mbv,,,,
1517,Mb/FGs,,,,
1518,Ff,,,,
1519,Rs=Cv,,,,
1520,Cv/Rs-VA,,,,
1521,Rs,,,,
1522,aCv/Ra,,,,
1523,RkA,,,,
1524,Cv=Ra-A,,,,
1525,Cv-A,,,,
1526,Ck,,,,
1527,Cw/Rau,,,,
1528,Raj/Cv,,,,
1529,Rs/Cv-A,,,,
1530,Cvb,,,,
1531,Cv=RsAV,,,,
1532,Rs/Cv-VA,,,,
1533,Cv/Rsk,,,,
1534,Rs,,,,
1535,sgFt,,,,
1536,bgFGt,,,,
1537,bgFft,,,,
1538,Ft,,,,
1539,Cf,,,,
1540,Cvb,,,,
1541,aCc-A,,,,
1542,Fj/Cj,,,,
1543,Cv-A,,,,
1544,aCv/Rs,,,,
1545,Rs-A,,,,
1546,Rk/Cv-A,,,,
1547,Fp,,,,
1548,aCc-RbA,,,,
1549,Cv/Rs,,,,
1550,Cv=Rs-A,,,,
1551,aCkc-RbA,,,,
1552,Cv/Rs-A,,,,
1553,Rs-A,,,,
1554,Cv=Rs-A,,,,
1555,aCk-A,,,,
1556,Rs/Cv-A,,,,
1557,Rs,,,,
1558,aCck,,,,
1559,Rs,,,,
1560,aCc-RbA,,,,
1561,Rsk-A,,,,
1562,aCck-RbA,,,,
1563,Rh,,,,
1564,Rk/MNr,,,,
1565,I=MNr,,,,
1566,aCc-RbA,,,,
1567,NTA,,,,
1568,Cf,,,,
1569,Cv/Rs,,,,
1570,Rs-VR,,,,
1571,aCc/FAp-BAR,,,,
1572,Rs-VR,,,,
1573,Rs/Cv-AR,,,,
1574,Rs-A,,,,
1575,Cvb/Mv,,,,
1576,aCw/Rh,,,,
1577,sMvb/Cv-V,,,,
1578,Cf,,,,
1579,Fp,,,,
1580,Cca-ARd,,,,
1581,Rs-VA,,,,
1582,Rs/Cvb-N,,,,
1583,aCa/Rs-A,,,,
1584,rMb=arCba-A,,,,
1585,Rs-AR,,,,
1586,acCac-AVR,,,,
1587,Rs/rCv,,,,
1588,arCv/Mv,,,,
1589,Rs-Ar,,,,
1590,aCa/Rs-R,,,,
1591,rMv/rCbv/Rs,,,,
1592,Rrs/arCv-A,,,,
1593,Mbv,,,,
1594,Cv/Rs,,,,
1595,Cv/Rs/Mv,,,,
1596,Rs=Cv-VR,,,,
1597,arCv,,,,
1598,Cv/Rs,,,,
1599,Cv/Rs,,,,
1600,Mbv/Cv,,,,
1601,Cf,,,,
1602,sgFt,,,,
1603,Mbv/Rs,,,,
1604,Cvb/Rsa,,,,
1605,Cv,,,,
1606,s$Mbv,,,,
1607,Cv/Rk,,,,
1608,sMvb/Cv,,,,
1609,Ccf,,,,
1610,Rak/aCv-N,,,,
1611,aCk-RbA,,,,
1612,/Cw/Rhk,,,,
1613,Rs-VA,,,,
1614,Rs,,,,
1615,Cw/Mw,,,,
1616,Mv=Cv,,,,
1617,bgFp/Mbv,,,,
1618,Rs-Ar,,,,
1619,arCv/Ra,,,,
1620,rMv=rCv/Rhs,,,,
1621,arMa/arCa-A,,,,
1622,NTA,,,,
1623,rCv/rMv/Ra-A,,,,
1624,arMa/arCa-A,,,,
1625,Rs-AVR,,,,
1626,Rs-RA,,,,
1627,I,,,,
1628,Rhk/Cv,,,,
1629,Mbv,,,,
1630,Ft,,,,
1631,gFGs-F,,,,
