fid,terrain,,,,
234,Mw,,,,
235,Cv=Mv,,,,
236,Mv=Cv/Rk,,,,
237,Cvb/Rs-AV,,,,
238,Rs-VAR,,,,
239,Cvc/Rs-AR,,,,
240,Rs-VAR,,,,
241,Cv=Mv/Rs,,,,
242,Cv/Rs,,,,
243,Cv=Mv=Rk,,,,
244,Mw,,,,
245,Mvb,,,,
246,Rs,,,,
247,Rak,,,,
248,Rs,,,,
249,aCc/MNr-RAb,,,,
250,aCc/Rs,,,,
251,Rhk/Cw,,,,
252,aCc/Rs-RAbA,,,,
253,Cv/Rs,,,,
254,Lp,,,,
255,Cv-A,,,,
256,aCc-RbA,,,,
257,aCa/Rs,,,,
258,Rs/aCa,,,,
259,aCca/MNr,,,,
260,Rs=Cv-A,,,,
261,Cca-ARd,,,,
262,Cv=Rs-A,,,,
263,aCv/Ra,,,,
264,Rs,,,,
265,Cv/Rs,,,,
266,Rs/Cv,,,,
267,Rs-A,,,,
268,Rs/aCv,,,,
269,aCc-A,,,,
270,aC,,,,
271,Cvb-A,,,,
272,Cv=Mv,,,,
273,Rhk=aChk-RbA,,,,
274,Mvb/Cv,,,,
275,aCak,,,,
276,Mv=Cv,,,,
277,Mvb/Cv-V,,,,
278,MvbV,,,,
279,Cc,,,,
280,aCc-RbA,,,,
281,aCck-RbA,,,,
282,Cv/Mv-V,,,,
283,Lp,,,,
284,Cv/Rs,,,,
285,Cv=Rs,,,,
286,aCv=Rah,,,,
287,Rs/Cv-AV,,,,
288,aCk=Rh/MN-RAb,,,,
289,/Cw/Rh,,,,
290,aCak-RbA,,,,
291,aCck-RbA,,,,
292,Cc,,,,
293,Rs-VRA,,,,
294,Rsk/Cv-AR,,,,
295,Rs-VA,,,,
296,Rsk=MNr,,,,
297,Rs-A,,,,
298,Rs-VRA,,,,
299,Rs-VRA,,,,
300,aCcv/Rs,,,,
301,Rs-A,,,,
302,Rks-AR,,,,
303,Ca,,,,
304,Cc,,,,
305,Ck/Rs-A,,,,
306,Cc-Ar,,,,
307,Cv/Rs,,,,
308,aCa=Rsr,,,,
309,Rsk/aCa-A,,,,
310,I,,,,
311,Mv=Cv-V,,,,
312,MNr=Ra=aCk-NRbA,,,,
313,aCk-RbA,,,,
314,aCk-RbA,,,,
315,aCak-RbA,,,,
316,Ca,,,,
317,Cv-A,,,,
318,Cv/Rs,,,,
319,Cv-A,,,,
320,Cv/Ra,,,,
321,Rs/Cv,,,,
322,Ck-RbA,,,,
323,Cv/Rs-VAR,,,,
324,Rsk,,,,
325,Cv-A/Rhs,,,,
326,aCc-RbA,,,,
327,sgF/Lp,,,,
328,Mbv-VRAd,,,,
329,Mv=Cv,,,,
330,Fp,,,,
331,Cc,,,,
332,Mbv/Cv-V,,,,
333,Cck-VAR,,,,
334,Cc,,,,
335,Cav/Mv/Rs-Rs,,,,
336,Cv/Rs,,,,
337,Cv=Rs-A,,,,
338,Rs-A,,,,
339,Cv/Rs,,,,
340,Rs=Cv,,,,
341,aCk-RbA,,,,
342,aCk-RbA,,,,
343,Mvb/Cv-VRAs,,,,
344,Cv/Rs-V,,,,
345,sMvb/Cv,,,,
346,Cvb/Mv,,,,
347,Cv=Rk,,,,
348,Rs,,,,
349,Mbv/Cv,,,,
350,Lp,,,,
351,Rs,,,,
352,Cv/Rk-A,,,,
353,Rs,,,,
354,CaA,,,,
355,sMvb/Cv,,,,
356,Mbv/Cv,,,,
357,aCak,,,,
358,Ck/Rs,,,,
359,aCca-A,,,,
360,aCcv/MNr/Rak-NRbA,,,,
361,Rs-VA,,,,
362,I,,,,
363,Rak,,,,
364,aCv-A,,,,
365,Rs,,,,
366,aCv/Rk-A,,,,
367,aCa,,,,
368,Cv-A,,,,
369,aCcv/Rs-AR,,,,
370,Rk,,,,
371,Rs/Cv,,,,
372,Cac-ARd,,,,
373,CvA-Rd,,,,
374,Rk/Cv,,,,
375,Ck/Rs,,,,
376,aCw/MN/Rh-N,,,,
377,Cv/Rs-VAR,,,,
378,Ck/Rs,,,,
379,Mbv,,,,
380,aCa-RbA,,,,
381,MNr,,,,
382,Ra/I,,,,
383,Cka,,,,
384,Ff,,,,
385,aCca/FjA-ARbA,,,,
386,arCv/Rs,,,,
387,aCvc=MNr/Rs,,,,
388,/Cw-N/Rhr,,,,
389,Rs/Cv,,,,
390,Ck,,,,
391,aCak,,,,
392,Cv/Mv/Rs,,,,
393,Ckc/Mbv,,,,
394,Ck/Rs,,,,
395,Fpt,,,,
396,Cfc,,,,
397,Ch,,,,
398,Cv=Rs-VR,,,,
399,aCa=Mv,,,,
400,aCk-RbAN,,,,
401,Cva,,,,
402,Rs-RV,,,,
403,aCk-RbA,,,,
404,Rsk/Cv,,,,
405,Cv/Ras-A,,,,
406,aCk=RbA,,,,
407,Cc,,,,
408,rCv/Rs-AR,,,,
409,Cf-AR,,,,
410,Ca,,,,
411,Cc,,,,
412,Ck-ARd,,,,
413,Cc-ARd,,,,
414,Cc,,,,
415,Rs/Cv-RV,,,,
416,aCk-RbA,,,,
417,arCv/Rs-AR,,,,
418,Rk/Cv,,,,
419,Rs,,,,
420,Rs/Cv,,,,
421,Cv=Rk-A,,,,
422,Cva/Ra,,,,
423,Cv=Rs-VAR,,,,
424,Cv=Rs-VA,,,,
425,Rs,,,,
426,I,,,,
427,Cc-ARd,,,,
428,CaA,,,,
429,Cc-ARd,,,,
430,I,,,,
431,I,,,,
432,I,,,,
433,Cv/Rs-V,,,,
434,Rs-V,,,,
435,Cv=Rs-VR,,,,
436,aCbv/Rs-ARb,,,,
437,aCv/Rk,,,,
438,Cv=Rs-VR,,,,
439,aCc/MNr-RbA,,,,
440,aCck-RbAd,,,,
441,aCa/Rs,,,,
442,Rsh,,,,
443,Ckc,,,,
444,NTA,,,,
445,Rsh,,,,
446,Rs,,,,
447,aCk-RbA,,,,
448,Rs/Cv-A,,,,
449,Rs,,,,
450,Cv/Rs-V,,,,
451,Rs/Cv-AV,,,,
452,Ckv=Rs,,,,
453,CkRb-A,,,,
454,Rs=Cv,,,,
455,/Cw/Rhk,,,,
456,Rsk=Cva-RAb,,,,
457,Rk/Cv,,,,
458,MNr,,,,
459,NTA,,,,
460,I,,,,
461,aCa/Rs-RbA,,,,
462,Rh/Cw,,,,
463,Cv/Rs,,,,
464,Rs/Cv-AR,,,,
465,Mv=Cv-F,,,,
466,Mv=Cv,,,,
467,Cv/Rs-ARV,,,,
468,Cv=Rs,,,,
469,Rs/Cv-RV,,,,
470,Cv/Rs,,,,
471,gFGt,,,,
472,FGt,,,,
473,gFGts,,,,
474,Mbv-RAsV,,,,
475,Mv=Cv/Rs,,,,
476,Mbv,,,,
477,Mw,,,,
478,Rs/Cv-AR,,,,
479,Mw/Rah,,,,
480,Cv/Rhs,,,,
481,Ras=Cv,,,,
482,Cv=Rha,,,,
483,Rs/Cv,,,,
484,Cw=Rak,,,,
485,Mv,,,,
486,Cv/Rs,,,,
487,Cv/Rh,,,,
488,Mv/Cv,,,,
489,Mw/Ruh,,,,
490,Cv/Rs,,,,
491,Cv/Mv,,,,
492,Mbv-V,,,,
493,Mv=Cv/Rk,,,,
494,Cv=Rs-RA,,,,
495,Cv/Rks,,,,
496,Ca,,,,
497,Cca,,,,
498,Cv=Rs-RA,,,,
499,Rs,,,,
500,Cc,,,,
501,aCc-RbA,,,,
502,Cc,,,,
503,Cv/Rs-A,,,,
504,Mv/Rhk,,,,
505,Cc-A,,,,
506,Cf,,,,
507,Cv/Rs,,,,
508,Rks/Cv-AR,,,,
509,Rs,,,,
510,Mbv/Cv,,,,
511,Rs,,,,
512,Cv=Mv/Rs-S,,,,
513,Lp,,,,
514,Cv/Rs-A,,,,
515,rCac,,,,
516,Cv=Rs-A,,,,
517,Cv=Rs-ARb,,,,
518,Rr/Cw,,,,
519,Cv/Rha,,,,
520,Rs=Cv-A,,,,
521,Rah,,,,
522,sgFGja,,,,
523,Rs,,,,
524,gFt,,,,
525,gFt,,,,
526,Ch,,,,
527,$LGv/sFGt,,,,
528,Cv,,,,
529,Cc,,,,
530,Cf/fLGt,,,,
531,Ch,,,,
532,Mbv,,,,
533,Cv/Mv,,,,
534,Mw/Rsh,,,,
535,Mw/Raj,,,,
536,sFGt,,,,
537,Cv/Rrs,,,,
538,Cf-Rd,,,,
539,Us,,,,
540,FGt,,,,
541,Cf,,,,
542,Cf-Rd,,,,
543,Cv=Rs,,,,
544,Rs/Cv-AR,,,,
545,Rs,,,,
546,Rs/Cv-VA,,,,
547,Cv,,,,
548,/Mw/Rh,,,,
549,Mvb=Cv/Rs,,,,
550,/Mw/Rh,,,,
551,Fp,,,,
552,Mv=Cv,,,,
553,Cvb,,,,
554,Rh/Cw,,,,
555,Cw/Rhk,,,,
556,Cvb/Rs,,,,
557,Mv=Cv,,,,
558,Rs,,,,
559,Cw/Rh,,,,
560,Ck,,,,
561,Rs-ARbA,,,,
562,aCck-ARbA,,,,
563,/Cw/Rs/Rrh,,,,
564,Cv/Mv,,,,
565,Mbv,,,,
566,Fp,,,,
567,Cv-A,,,,
568,Cc,,,,
569,Cv=Mv,,,,
570,FGt,,,,
571,Mb-V,,,,
572,Mbv,,,,
573,Cv/Mv,,,,
574,Rs=Cv-VR,,,,
575,Mw=Cw/Rr,,,,
576,Cv/Rs,,,,
577,Mvb/Cv,,,,
578,Mbv/Cv,,,,
579,Cv=Rs-VAR,,,,
580,Rs-VAR,,,,
581,Rsk/aCw,,,,
582,Rrk/Cw-N,,,,
583,aCk,,,,
584,aCk-ARb,,,,
585,aCw-N/Rh,,,,
586,Cv/Rs,,,,
587,Rs,,,,
588,Cv/Rs-A,,,,
589,Rs,,,,
590,aCa,,,,
591,Cv/Rs-V,,,,
592,Ca,,,,
593,Rs,,,,
594,Cv/Mv-V,,,,
595,Rs=Cv,,,,
596,Mu,,,,
597,sMbv/Cv/Rs,,,,
598,Cv=Rhs/Mv,,,,
599,Cck,,,,
600,Fpt,,,,
601,Ca=Fp-I,,,,
602,Mbv,,,,
603,Cf,,,,
604,Cv=Rs-V,,,,
605,Rs-V,,,,
